numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,3.0,Computer Software,software engineering,5.59,Master,capital one,university of wisconsin madison,0
500,5.0,Design,design,6.42,Master,rottet studio,pratt institute,0
500,3.0,Entertainment,student,11.66,empty,live nation entertainment,the college of new jersey,0
500,6.0,Advertising Services,strategic marketing,14.41,empty,wpp,trinity college dublin,0
500,1.0,Writing and Editing,writer,11.67,Master,jackie kingon,school of visual art,0
500,3.0,Architecture and Planning,design consultant,5.0,empty,rossana capurso atelier,sapienza università di roma,0
500,2.0,Entertainment,social media,12.23,Master,nbcuniversal,william paterson university of new jersey,0
500,5.0,Primary/Secondary Education,ambassador,18.15,Master,nyc health hospitals,emory university,0
500,6.0,Advertising Services,writer,28.16,Master,evolved media,columbia university graduate school of journalism,0
500,7.0,IT Services and IT Consulting,investment,43.74,Master,dumroo ai ai ecosystem for education,rochester institute of technology,0
500,6.0,Accounting,tax accountant,12.83,Master,bessemer trust,baruch college,0
500,1.0,Higher Education,teaching,8.4,Master,council on foreign relations,the london school of economics and political science lse,0
500,2.0,Hospitals and Health Care,project coordinator,12.75,Master,rwjbarnabas health medical group,seton hall university,0
500,5.0,Computer Software,data analytics,15.08,Master,the new york times,university of derby,0
500,2.0,E-learning,teacher,22.0,Associate,be fluent now,efficient language coaching global sl,0
414,5.0,Investment Banking,investment analyst,13.33,MBA,goldman sachs,new york university leonard n stern school of business,0
500,1.0,Venture Capital & Private Equity,financial services,6.09,MBA,ibeehub incubator,goldey beacom college,0
500,5.0,Advertising Services,interaction designer,22.0,MBA,siriusxm,berlin school of creative leadership steinbeis university,0
500,6.0,Design,coo,2.08,Master,footwear xcelerated,university of architecture civil engineering and geodesy,0
500,4.0,Pharmaceutical Manufacturing,pharmaceutical sales,23.33,empty,novartis,purchase college suny,0
500,6.0,Higher Education,creative,11.43,MBA,juggl,cornell tech,0
500,2.0,Marketing & Advertising,promotions,7.08,Master,j p morgan,hofstra university,0
500,4.0,Writing & Editing,journalist,27.92,Master,new york university,new york university,0
409,1.0,Hospital & Health Care,medical,2.5,Master,day dermatology aesthetics,new york medical college,0
500,5.0,Non-profit Organizations,directors,8.92,Master,third streaming llc,columbia university,0
500,1.0,Higher Education,research,17.08,Master,capco2 solutions,columbia university,0
500,5.0,Retail Art Supplies,artist,15.0,empty,big ears studio,canarsie high school,0
500,3.0,Real Estate,ambassador,4.49,Master,soul arts productions,new york university,0
431,1.0,Education Management,substitute teacher,7.33,Master,madison avenue presbyterian church day school,arizona state university,0
500,2.0,IT Services and IT Consulting,software engineer analyst,12.91,MBA,mckinsey company,lal bahadur shastri institute of management,0
403,6.0,Hospital & Health Care,nurse,8.57,MBA,magellan health,metropolitan college of new york school of business,0
489,2.0,Mental Health Care,counselor,7.25,Master,mental health association in new jersey,rutgers school of health professions,0
500,5.0,Real Estate,representative,3.09,empty,421 west 57th street owners corporation,new york university,0
