numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,5.0,Marketing & Advertising,media relations,7.0,Bachelor,razorfish,texas christian university,1
439,5.0,Entertainment Providers,producer,4.75,Bachelor,adolescent,parsons school of design the new school,1
384,4.0,Hospital & Health Care,teaching,6.75,Doctor,hospital for special surgery,banaras hindu university,2
217,2.0,Computer Software,research scientist,5.17,Doctor,meta,iowa state university,2
274,1.0,Higher Education,research,7.49,Doctor,columbia university,california polytechnic state university san luis obispo,2
500,3.0,Computer Software,software engineering,5.59,Master,capital one,university of wisconsin madison,0
279,5.0,Hospitals and Health Care,statistician,16.42,Doctor,icap at columbia university,columbia university mailman school of public health,2
500,2.0,Government Administration,nanny,28.28,Doctor,free people,medical university of south carolina,3
373,6.0,Biotechnology,research scientist,26.25,Doctor,tb alliance,university of houston,3
500,5.0,Biotechnology,scientist,16.33,Doctor,bristol myers squibb,ut southwestern medical center,3
500,5.0,Financial Services,directors,27.0,Bachelor,kinsale capital advisors,michigan state university,1
265,4.0,Gambling Facilities and Casinos,systems,37.51,empty,law offices of hayt hayt landau,towson university,2
240,1.0,Entertainment,press,7.83,Bachelor,paramount,new york university,2
500,5.0,Marketing & Advertising,online,6.75,Bachelor,inspiren,pitzer college,1
500,5.0,Design,design,6.42,Master,rottet studio,pratt institute,0
185,3.0,Research,medical technologist,3.33,Bachelor,r i analytical laboratories inc,university of rhode island,2
500,3.0,Entertainment,student,11.66,empty,live nation entertainment,the college of new jersey,0
396,3.0,Hospital & Health Care,physician,17.25,Doctor,albert einstein college of medicine,nyu grossman school of medicine,2
346,1.0,Education Management,data analyst,6.67,High School,sony pictures entertainment,williams college,2
500,5.0,Musicians,digital media,21.25,Bachelor,wpp media,state university of new york maritime college,1
276,5.0,Hospital & Health Care,physician,14.91,Doctor,harlem hospital center at columbia university,new york university,2
500,6.0,Advertising Services,strategic marketing,14.41,empty,wpp,trinity college dublin,0
500,5.0,Book and Periodical Publishing,writer,24.17,Bachelor,penguin random house,wingate college,1
242,5.0,Entertainment Providers,marketing officer,9.92,Bachelor,cakeworks,providence college,2
500,2.0,Medical Practice,medical,19.25,Doctor,new york university college of dentistry,new york university college of dentistry,3
500,1.0,Writing and Editing,writer,11.67,Master,jackie kingon,school of visual art,0
187,4.0,Hospital & Health Care,clinical,12.42,Master,loyal source government services,lehman college,2
500,4.0,Design Services,artist,9.58,Bachelor,parsons school of design the new school,nanyang technological university,1
500,6.0,Law Practice,attorney,3.0,Doctor,kaufmann gildin robbins llp,villanova university charles widger school of law,3
500,3.0,Architecture and Planning,design consultant,5.0,empty,rossana capurso atelier,sapienza università di roma,0
500,2.0,Photography,photographer,14.24,Bachelor,redux pictures,hunter college,1
500,2.0,Entertainment,social media,12.23,Master,nbcuniversal,william paterson university of new jersey,0
500,5.0,Events Services,account sales,16.41,Bachelor,navan,university of wisconsin madison,1
337,6.0,Architecture & Planning,architect,8.0,Master,gluck formerly peter gluck and partners architects and locus construction,yale university,2
317,5.0,Research,professor,45.0,Doctor,memorial sloan kettering cancer center,the johns hopkins university school of medicine,2
170,6.0,Law Practice,law,28.0,Doctor,the law office of deborah a ezbitski,elisabeth haub school of law at pace university,2
500,5.0,Public Relations & Communications,public affairs,12.41,Bachelor,arena,american university,1
494,2.0,Higher Education,journalist,10.25,Bachelor,new york film academy,ramapo college of new jersey,1
500,5.0,Computer Software,editor,17.0,Bachelor,fresco,the culinary institute of america,1
500,5.0,Construction,project engineer,11.16,Bachelor,suffolk construction,new jersey institute of technology,1
254,2.0,Design Services,brand ambassador,13.42,Bachelor,apple,pratt institute,2
283,1.0,Retail Apparel and Fashion,stylist,5.5,Associate,delta air lines,fashion institute of technology,2
500,5.0,Financial Services,investment,29.0,Bachelor,credit suisse,nyu stern school of business,1
500,1.0,Consumer Electronics,laboratory technician,21.0,Doctor,brookhaven national laboratory,university of cambridge,3
500,5.0,Legal Services,attorney,31.5,Doctor,practising law institute pli,touro university jacob d fuchsberg law center,3
500,5.0,Primary/Secondary Education,ambassador,18.15,Master,nyc health hospitals,emory university,0
500,6.0,Financial Services,investment,7.83,Bachelor,acre,tulane university a b freeman school of business,1
500,6.0,Advertising Services,directors,73.25,MBA,newyork presbyterian hospital,stanford university graduate school of business,3
333,6.0,Information Technology & Services,business architect,5.75,Bachelor,ibm,penn state university,2
394,1.0,Writing & Editing,content,37.51,Bachelor,mighty scribes,gettysburg college,1
500,6.0,Advertising Services,writer,28.16,Master,evolved media,columbia university graduate school of journalism,0
342,3.0,Financial Services,loan,2.41,Master,tvt capital llc,sacred heart university,2
500,1.0,Higher Education,teaching,14.4,Bachelor,yale chemistry department,yale university,1
500,7.0,IT Services and IT Consulting,investment,43.74,Master,dumroo ai ai ecosystem for education,rochester institute of technology,0
500,6.0,Accounting,tax accountant,12.83,Master,bessemer trust,baruch college,0
500,2.0,Hospital & Health Care,clinical,3.84,Bachelor,bayada home health care,seton hall university,1
471,3.0,Research Services,research,3.66,Doctor,columbia university in the city of new york,harvard university,3
213,2.0,Medical Practice,resident,7.43,Doctor,the dimock center,state university of new york college of optometry,2
500,1.0,Higher Education,teaching,8.4,Master,council on foreign relations,the london school of economics and political science lse,0
500,2.0,Higher Education,directors,3.42,Bachelor,stuorg smith college investment club,smith college,1
500,2.0,Hospitals and Health Care,project coordinator,12.75,Master,rwjbarnabas health medical group,seton hall university,0
500,5.0,Strategic Management Services,lecturer,28.74,Doctor,world monuments fund,university of california los angeles,3
205,3.0,Insurance,actuary,17.75,Bachelor,nippon life benefits,cornell university,2
500,5.0,Computer Software,data analytics,15.08,Master,the new york times,university of derby,0
500,2.0,E-learning,teacher,22.0,Associate,be fluent now,efficient language coaching global sl,0
414,5.0,Investment Banking,investment analyst,13.33,MBA,goldman sachs,new york university leonard n stern school of business,0
300,4.0,International Affairs,consulting,51.16,Doctor,investigazioni criminali italia,the hebrew university of jerusalem,2
500,6.0,Computer Software,artist,3.25,Bachelor,the dinner table,george mason university,1
500,1.0,Venture Capital & Private Equity,financial services,6.09,MBA,ibeehub incubator,goldey beacom college,0
500,5.0,Information Technology & Services,marketing representative,3.58,Bachelor,ibm,the university of texas at san antonio,1
500,1.0,Marketing & Advertising,marketing representative,6.33,Bachelor,playfly sports,university of connecticut,1
437,3.0,Motion Pictures & Film,model,10.65,Bachelor,freelance,montclair state university,1
207,2.0,Cosmetics,analytical chemist,4.26,Master,good face project,columbia university in the city of new york,2
500,2.0,Design,production artist,16.24,Bachelor,aruliden,pratt institute,1
500,5.0,Advertising Services,interaction designer,22.0,MBA,siriusxm,berlin school of creative leadership steinbeis university,0
500,6.0,Design,coo,2.08,Master,footwear xcelerated,university of architecture civil engineering and geodesy,0
205,2.0,Hospital & Health Care,writer,9.42,Doctor,memorial sloan kettering cancer center,yonsei university 연세대학교,2
500,3.0,Financial Services,broker,22.0,Bachelor,better business bureau,nyu stern school of business,1
165,3.0,Law Practice,attorney,2.25,Doctor,city of new york administration for children s services,cardozo school of law,2
500,3.0,Entertainment,video editor,13.83,Bachelor,hat trick productions,hofstra university,1
500,2.0,Law Practice,spring,24.23,Doctor,linklaters,georgetown university law center,3
500,4.0,Pharmaceutical Manufacturing,pharmaceutical sales,23.33,empty,novartis,purchase college suny,0
500,5.0,Financial Services,strategist,4.0,Bachelor,bloomberg,northeastern university,1
500,6.0,Higher Education,creative,11.43,MBA,juggl,cornell tech,0
500,2.0,Marketing & Advertising,promotions,7.08,Master,j p morgan,hofstra university,0
500,2.0,Financial Services,investor relations,4.58,Bachelor,goldman sachs,texas mccombs school of business,1
500,5.0,Non-profit Organizations,writer,4.42,Bachelor,bob woodruff foundation,drexel university,1
500,4.0,Writing & Editing,journalist,27.92,Master,new york university,new york university,0
500,4.0,Accounting,tax preparer,15.1,Bachelor,arab american family support center,georgia state university j mack robinson college of business,1
409,1.0,Hospital & Health Care,medical,2.5,Master,day dermatology aesthetics,new york medical college,0
410,3.0,Architecture & Planning,architect,5.58,Master,method design architecture urbanism pllc,pratt institute,2
500,1.0,Public Relations and Communications Services,host,20.24,Doctor,communicating education podcast,university of oxford department for continuing education,3
330,2.0,Computer Software,product designer,1.5,Master,butlr,school of visual arts,2
500,5.0,Non-profit Organizations,directors,8.92,Master,third streaming llc,columbia university,0
500,2.0,Insurance,equity,3.17,Bachelor,macquarie group,university of south carolina,1
500,1.0,Higher Education,research,17.08,Master,capco2 solutions,columbia university,0
500,7.0,Telecommunications,network architect,22.83,Doctor,nokia,university of wisconsin madison,3
289,2.0,Higher Education,research scientist,13.16,Doctor,uc berkeley,the graduate center city university of new york,2
500,4.0,Hospitals and Health Care,physician,7.82,Bachelor,weill cornell medicine,tufts university school of medicine,1
360,2.0,Computer Software,software programmer,5.08,Master,octane,hack reactor,2
396,2.0,Financial Services,bank,2.34,High School,merrill lynch,bucknell university,1
445,3.0,Broadcast Media Production and Distribution,producer,21.58,Bachelor,cbs news,duke university,1
289,5.0,Medical Practices,physician,34.41,Doctor,northwell health,state university of new york downstate health sciences university,2
500,3.0,Insurance,account,9.91,Bachelor,alliant insurance services,pace university,1
500,5.0,Retail Art Supplies,artist,15.0,empty,big ears studio,canarsie high school,0
500,3.0,Real Estate,ambassador,4.49,Master,soul arts productions,new york university,0
408,4.0,Higher Education,professor,54.83,Doctor,the graduate center city university of new york cuny,harvard university,3
270,2.0,Non-profit Organizations,merchandising,1.67,High School,icon for hire,calvary chapel bible college,2
431,1.0,Education Management,substitute teacher,7.33,Master,madison avenue presbyterian church day school,arizona state university,0
262,1.0,Photography,creative,0.99,Bachelor,chris craymer mahattan beach studios,fashion institute of technology,2
500,1.0,Broadcast Media,journalist,8.75,Bachelor,fox corporation,nyu school of professional studies,1
500,3.0,Law Practice,attorney,35.5,Doctor,salesforce,washington university in st louis school of law,3
500,3.0,Financial Services,economist,3.17,Bachelor,citrin cooperman,university of georgia terry college of business,1
500,2.0,Law Practice,law,5.67,Doctor,latham watkins,st john s university school of law,3
223,2.0,Artists and Writers,ambassador,33.33,Bachelor,sculpturecenter,stony brook university,2
451,7.0,Motion Pictures & Film,officer,0.42,Bachelor,this is global limited,mercy college,1
500,2.0,Software Development,software engineering,4.25,Bachelor,grubhub,vanderbilt university,1
500,5.0,Accounting,audit,15.73,Bachelor,deloitte,umn carlson school of management,1
165,2.0,Higher Education,professor,22.66,Doctor,farmingdale state college,university of connecticut,2
168,3.0,Primary/Secondary Education,substitute teacher,10.58,Master,new visions charter high school for advanced math and science ii,hunter college,2
500,6.0,Law Practice,attorney,1.75,Doctor,hunton andrews kurth llp,university of pennsylvania law school,3
417,3.0,Computer Software,software engineer,8.67,Bachelor,carrot fertility,general assembly,1
500,5.0,Law Practice,attorney,10.51,Doctor,greenberg traurig llp,seton hall university school of law,3
351,4.0,Hospitals and Health Care,teaching,6.75,Master,oracle,yale school of public health,2
500,2.0,IT Services and IT Consulting,software engineer analyst,12.91,MBA,mckinsey company,lal bahadur shastri institute of management,0
415,1.0,Museums & Institutions,teacher,1.0,Bachelor,topical cream,bates college,1
378,1.0,Computer Software,computer scientist,4.74,Master,stony brook university college of engineering and applied sciences,stony brook university college of engineering and applied sciences,2
299,3.0,Entertainment,actor,3.34,Bachelor,mccarter theatre center,emerson college,2
500,5.0,Financial Services,consulting,6.99,Bachelor,boston consulting group bcg,claremont mckenna college,1
403,6.0,Hospital & Health Care,nurse,8.57,MBA,magellan health,metropolitan college of new york school of business,0
500,5.0,Information Technology & Services,marketing consultant,57.57,Bachelor,clarifai,duke university,3
489,2.0,Mental Health Care,counselor,7.25,Master,mental health association in new jersey,rutgers school of health professions,0
352,5.0,Design Services,social media marketing,11.4,Master,thoughtmatter,claremont graduate university peter f drucker and masatoshi ito graduate school of management,2
266,3.0,Manufacturing,creative,19.0,empty,proctor gamble,long island business institute,2
284,5.0,Accounting,tax accountant,14.92,MBA,eisneramper llp,baruch college,2
355,3.0,Automotive,embedded software engineer,11.92,Master,bmw of north america llc,rochester institute of technology,2
500,2.0,Medical Practice,clinical research,1.0,Bachelor,columbia university irving medical center,cornell university,1
500,5.0,Real Estate,representative,3.09,empty,421 west 57th street owners corporation,new york university,0
500,2.0,Financial Services,quantitative analyst,19.58,Doctor,code org,ucl,3
500,7.0,Non-profit Organization Management,directors,25.92,Bachelor,food bank for new york city,bard college,1
500,6.0,Investment Management,investment,33.09,Bachelor,five arrows,cornell johnson graduate school of management,1
178,2.0,Non-profit Organization Management,coordinator,5.5,Master,wateraid america,university of glasgow,2
500,3.0,Financial Services,ambassador,3.17,Bachelor,jpmorgan chase co,marist college,1
500,3.0,Financial Services,portfolio,5.75,empty,j p morgan,trinity college hartford,1
459,1.0,Performing Arts,stage,21.31,Bachelor,walnut street theatre,penn state university,1
500,3.0,Staffing & Recruiting,recruitment consultant,4.84,Bachelor,selby jennings,university of richmond robins school of business,1
484,3.0,Investment Banking,strategic planning,2.17,Bachelor,nbcuniversal media llc,new york university leonard n stern school of business,1
500,6.0,Financial Services,investment banking,15.5,Bachelor,tradeweb,bates college,1
322,5.0,Pharmaceuticals,research scientist,14.34,Doctor,merck,university of north carolina at chapel hill,2
500,3.0,Financial Services,education,13.41,Doctor,jpmorganchase,the george washington university school of business,3
500,5.0,Online Audio and Video Media,contributor,31.09,empty,axis partners,liceo scientifico di scandicci,0
500,6.0,Higher Education,teaching,16.83,MBA,kantar,thunderbird school of global management,0
268,1.0,Legal Services,teaching,3.92,Doctor,kirkland ellis,duke university school of law,2
500,3.0,Design Services,architect,9.17,Master,the fulbright program,harvard university graduate school of design,0
211,4.0,Government Administration,law,8.67,Doctor,new york city law department,seton hall university school of law,2
500,2.0,Mechanical Or Industrial Engineering,mechanical design engineer,14.93,Master,nyu agile robotics and perception lab,new york university,0
500,5.0,Computer Software,campaign,4.08,Bachelor,adobe,binghamton university school of management,1
453,2.0,Hospital & Health Care,paramedic,3.0,Bachelor,us army,rutgers university,1
385,6.0,Program Development,teacher,21.51,Master,brookdale community college,seton hall university,0
500,2.0,Hospital & Health Care,clinical,10.59,Master,hackensack meridian health,university of south alabama,0
500,4.0,Wellness and Fitness Services,underwriting,8.33,Bachelor,tokio marine hcc specialty group,university at albany,1
500,6.0,Non-profit Organization Management,social,18.17,Master,csh the source for housing solutions,university of pennsylvania,0
500,7.0,Investment Management,wealth,23.0,Bachelor,frisch financial group inc,binghamton university school of management,1
500,5.0,Performing Arts,digital,8.08,MBA,lincoln center for the performing arts,yale school of management,0
500,4.0,Public Relations & Communications,directors,9.58,Bachelor,national business disability council nbdc at the viscardi center,university of north carolina wilmington,1
500,5.0,Advertising Services,creative,31.17,Bachelor,tag,university of hartford,1
500,5.0,Financial Services,investment,17.92,empty,bank of america,queen mary university of london,0
500,7.0,Non-profit Organizations,strategic,30.92,Master,board dev,stanford university graduate school of business,0
500,5.0,Management Consulting,strategy consultant,13.59,MBA,national grid,duke university the fuqua school of business,0
267,1.0,"Health, Wellness & Fitness",customer service representative,20.75,empty,the nature s bounty co,sanford brown institute new york,2
500,2.0,Law Practice,attorney,17.08,Doctor,geoffrey g gussis esq,washington university school of law,3
313,1.0,Financial Services,administrative,10.0,empty,highbridge capital management,nassau community college,2
500,2.0,Law Practice,teaching,22.09,Doctor,harvard carr center for human rights policy,harvard law school,3
500,4.0,Financial Services,investment consultant,12.34,Bachelor,salesforce,rutgers university,1
164,1.0,Higher Education,graphic design,17.16,Master,school of visual arts,school of visual arts,2
500,4.0,Pharmaceuticals,instructional designer,28.33,Doctor,daiichi sankyo inc,seton hall university,3
500,5.0,Research Services,scientist,21.08,Doctor,regeneron,seconda università degli studi di napoli,3
469,5.0,IT Services and IT Consulting,ambassador,8.0,Bachelor,meta,university of georgia terry college of business,1
500,2.0,Software Development,software engineering,7.26,Bachelor,southwest airlines,texas a m university,1
282,5.0,Retail Luxury Goods and Jewelry,credit collections,22.08,Bachelor,lvmh watches jewelry,university of phoenix,2
500,5.0,Law Practice,attorney,89.5,Doctor,university at buffalo alumni association,new york law school,3
411,2.0,Retail Apparel and Fashion,design consultant,8.83,Bachelor,g iii apparel group,syracuse university,1
417,5.0,Writing and Editing,copywriter,14.99,Bachelor,rutgers university,university of kansas,1
500,5.0,Banking,investment,9.34,Bachelor,community capital technology cct,hobart and william smith colleges,1
172,3.0,Information Technology & Services,product,5.83,MBA,jpmorgan chase co,fairleigh dickinson university,2
500,3.0,Research,teaching,7.5,Master,american pakistan foundation,new york medical college,0
431,5.0,Advertising Services,copywriter,15.25,Master,gale partners,nina mua makeup academy,0
500,2.0,Hospital & Health Care,physical therapist,4.92,Doctor,metro physical aquatic therapy,northeastern university,3
500,1.0,Judiciary,security guard,3.67,Bachelor,village of oyster bay cove ny,yale university,1
500,2.0,Entertainment,actor,81.88,Bachelor,signature theatre,harvard university,3
500,1.0,Biotechnology,research,13.24,Doctor,columbia university irving medical center,columbia university,3
500,2.0,Financial Services,equity analyst,3.17,Bachelor,cfa institute,questrom school of business boston university,1
500,5.0,Law Practice,counsel,21.91,Doctor,bny mellon,columbia law school,3
350,2.0,Apparel & Fashion,key holder,2.75,Master,nordstrom,fashion institute of technology,0
